title,videoId,channelId,channelTitle,categoryId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount,publishedAt,duration
Roma-Napoli 0-1 | Osimhen stuns Roma with a belter: Goals & Highlights | Serie A 2022/23,Ga_i97g0uFY,UCBJeMCIeLQos7wacox4hmLQ,Serie A,17,1281067,20414,0,1023,0,23/10/2022,PT3M32S
"IYUNOLA(AGBOLUAJE) 2 -Latest 2022 Yoruba Movie Starring Ibrahim Chatta, Afeez Eniola, Busayo Balogun",8ysbPIw76i4,UCK2-495cMvdhaMqXcLlgmcg,YORUBAPLAY,24,273529,3273,0,572,0,23/10/2022,PT1H41M25S
Best Friends in the World: Senior Year | Episode 12,taSmzW5wvZM,UCCl71WmqkG8BjVuySOSCh_Q,Neptune3 Studios,1,1536820,49194,0,3720,0,14/10/2022,PT55M46S
IZZAR SO SABON SALO EPISODE 102,lywE4C4ewmk,UCN3dhIcfderAlznX52VEyTQ,BAKORI TV,24,440755,10386,0,940,0,23/10/2022,PT57M36S
Wizkid - Bad To Me (Official Video),2mkhevOXVNk,UCE0-Bxu88d4bsGCv34zvtbA,WizkidVEVO,10,1664482,88853,0,6832,0,19/10/2022,PT3M20S
Blaqbonez - Back In Uni (Official Music Video),s4y_kzpCthQ,UC0iZ_gqCk22K0jWscf75lhg,Blaqbonez,10,3076516,137583,0,9842,0,12/10/2022,PT3M29S
KAFAYA FAYA - Mercy Johnson and Ebube Nwagbo Battle it out in this hilarious comedy,tFEfCqKu58o,UCnZ28GESUBXyZSIvzcs1RXA,ChinneyLoveEze Tv,24,707402,12117,0,806,0,18/10/2022,PT1H32M22S
UNBELIEVABLE Performance!  | Man Utd 2-0 Tottenham | Highlights,O0W4e7d4VvE,UC6yW44UGJJBvYTlfC7CRg2Q,Manchester United,17,6984232,147720,0,4338,0,19/10/2022,PT2M32S
FAMILY MATTERS | Brodashaggi | Mr Ibu | Kiriku | Boss baby | Alhaji Suberu | Jasmine Okafor,Zv1i-Cdn4Ik,UCG6orNVuXIICv9_ifH6msIA,official BRODA SHAGGI,23,479917,25584,0,1342,0,22/10/2022,PT10M18S
Peter Obi to Presidential Candidates: Tell Nigerians Your Plans Yourself Not Through Proxies,sBX_9gpyqKg,UCyEJX-kSj0kOOCS7Qlq2G7g,Arise News,25,211057,6136,0,3102,0,24/10/2022,PT55M27S
Cough (Odo),VLDOAM-8K8E,UClXTl2OdJ-BE89kw4csTYiA,Kizz Daniel - Topic,10,893841,11806,0,0,0,13/10/2022,PT2M57S
ROMOLA ALAKARA - Latest 2022 Yoruba Movie Starring; Mercy Aigbe | Femi Adebayo | Tope Adebayo,seZb9P7H6MU,UCK2-495cMvdhaMqXcLlgmcg,YORUBAPLAY,24,422018,4470,0,516,0,21/10/2022,PT1H9M27S
A FIRST Goal For Casemiro  | Chelsea 1-1 Man Utd | Highlights,klG_itC5ROw,UC6yW44UGJJBvYTlfC7CRg2Q,Manchester United,17,3643280,87488,0,2540,0,22/10/2022,PT2M39S
Olosho Ghetto 2 Latest Yoruba Movie 2022 Drama Starring Olayinka Solomon|Ibrahim Yekini |Kemi Apesin,D14mXmRjWms,UC83tx3zGcvQ_rXzsZigTnEA,APATATV+,24,910694,9925,0,621,0,12/10/2022,PT1H10M17S
IZZAR SO SABON SALO EPISODE 101 ORIGINAL,6WVcKaFS8Xk,UCN3dhIcfderAlznX52VEyTQ,BAKORI TV,24,616985,12524,0,568,0,16/10/2022,PT1H1M9S
Calling the Police Gone Wrong,Ol2y-pn_XrA,UCEZ6QFA7F37E--lqew7wbAQ,Ofentse Mwase Films,23,984273,34065,0,130,0,16/10/2022,PT1M
Chris Brown - Under The Influence (Official Video),pfxyk1glEq4,UCm1dsgJNnhaLkY3uAdqN4mA,ChrisBrownVEVO,10,8207316,505810,0,29187,0,20/10/2022,PT2M57S
HIGHLIGHTS: Liverpool 1-0 Manchester City | Salah's solo strike wins it!,TE0e64xbtqQ,UC9LQwHZoucFT94I2h6JOcjw,Liverpool FC,17,7124893,113319,0,4924,0,16/10/2022,PT2M18S
Resumen de Real Madrid vs FC Barcelona (3-1),swLI6zuXtp4,UCTv-XvfzLX3i4IGWAm4sbmA,LaLiga Santander,17,5772450,119362,0,4324,0,16/10/2022,PT3M2S
EVERTON 3-0 CRYSTAL PALACE | Premier League highlights,rND-d_m19Dg,UCtK4QAczAN2mt2ow_jlGinQ,Everton Football Club,17,766843,12511,0,484,0,22/10/2022,PT2M21S
Tryqh `ml kbd wqwnS lfrkh bTryqh shl@ jd - mTbkh khdyj@,btksFmWQFO8,UCSw3TBd9ohpgHzq1dPBKNsA,Khadija channel,24,1835742,13396,0,628,0,19/10/2022,PT1M1S
Street Alhaja - A Yoruba Movie Starring Bimpe Oyebade,FcOcDbzxDPA,UCmO5F4c2bK9i5OJ7VRn5srw,YORUBA CINEMA5STAR,1,170305,1357,0,68,0,17/10/2022,PT1H30M49S
THE NEW WIFE MUST GO | MR MACARONI | TAAOOMA | MIDE MARTINS,tgjVBObnW6E,UCxAkiUiL3KnMl0BIFBv6xxA,MR MACARONI,24,351324,14303,0,705,0,23/10/2022,PT4M6S
"Kizz Daniel, EMPIRE - Cough (Official Lyric Video)",D4wfz73Nqw4,UCl_UN14ygi5c1dMjGbJl6XA,KizzDanielVEVO,10,742584,17612,0,631,0,19/10/2022,PT2M57S
"Kizz Daniel, EMPIRE - Cough (Official Visualizer)",hN9TVKBVtrU,UCl_UN14ygi5c1dMjGbJl6XA,KizzDanielVEVO,10,2653451,64252,0,3305,0,13/10/2022,PT2M57S
BITESIZE HIGHLIGHTS | Aston Villa 4-0 Brentford,P_SMsr_7QQ0,UCICNP0mvtr0prFwGUQIABfQ,Aston Villa FC,17,366430,7620,0,341,0,23/10/2022,PT3M20S
Oxlade - KU LO SA (Official Video),R4qud199tQk,UCSIDFFeBr-8GMyyh_OJkyZg,OxladeVEVO,10,1001149,52688,0,1440,0,21/10/2022,PT2M29S
Rush,Xd1VSwCi2o,UCO4TFKYiSDo7vOQC04mr7Fg,Ayra Starr - Topic,10,59036,974,0,0,0,17/10/2022,PT3M6S
Police Internship,veIB8gLx5GM,UC26q7KQxr5TnKm-OT25MyyQ,HouseOfAjebo,23,105305,5375,0,183,0,22/10/2022,PT5M49S
"FINANCIAL FORTUNE BANQUET SERVICE | OCTOBER 23, 2022 | FAITH TABERNACLE OTA.",NCH5_D_ZcwA,UCyUKtrMdDilf74SPkCCKKtw,Living Faith Church Worldwide,29,107384,0,0,0,0,23/10/2022,PT7H47M21S
Magixx - All Over (Official Music Video),zwVQjisPfZY,UCxB1Xmz7BomgGotLDMLAUdQ,Magixx,22,998321,26339,0,1165,0,18/10/2022,PT3M8S
Bayern beat the curse | FC Augsburg vs. FC Bayern Munchen 2-5 | Highlights | DFB-Pokal Round 2,PZER-yNMldU,UC7am34-1rGU_ky1vWYnoOJQ,German Football,17,1505808,26721,0,587,0,19/10/2022,PT5M38S
Leeds United 2-3 Fulham | Premier League Highlights | Back-To-Back Victories!,fTMAA6A8CdU,UC2VLfz92cTT8jHIFOecC-LA,Fulham Football Club,17,382767,7262,0,166,0,23/10/2022,PT2M13S
Foxes Put Four Past Wolves | Wolverhampton Wanderers 0 Leicester City 4 | Premier League Highlights,dazG5Cqk55Y,UCBkRQtxofyXr09mWtgoUUqw,LCFC,17,387174,8927,0,234,0,23/10/2022,PT2M6S
AFRICAN HOME: THE CONVICT,O8gexg1ao-0,UCUocOQtoaHPuT0K8lME559A,SamSpedy,23,684340,29109,0,1782,0,23/10/2022,PT16M9S
SEE WAHALA O ,qo-K3YlcfU0,UCjSzBGfo9gDXP0OerKJ9GZg,Twyse Ereme,24,55127,5021,0,212,0,24/10/2022,PT2M11S
Game On S2E2: A Lovely Surprise,MtYuLnHdILk,UCx2qMIoQIchX9o5x38hf1Bw,NdaniTV,24,79817,2432,0,470,0,21/10/2022,PT44M30S
If You think You are Too Big for Politics M.C Oluomo Will Be Your Next Governor - Farotimi,E5j8RW8MTcA,UCKnyVIW5QvfnsXddsjFKx4A,SaharaTV,25,101359,1945,0,346,0,22/10/2022,PT7M4S
A Dying Wish Yoruba Latest Movies 2022 Drama | Lateef Adedimeji | Bimpe Oyebade,BJvsOilWQUU,UCeAH89bVuCLxp7MPOBZFZNQ,Yorubaplus,24,282555,2682,0,257,0,17/10/2022,PT1H19M
IKA Latest Yoruba Movie 2022 4K Ibrahim Chatta|Akin Olaiya|Muyiwa Ademola|ITELE|Femi Adebayo|Ayo Ola,cDzRVIL5xew,UCvpK1k1i23Xi5TM-ZDuSNDw,LibraTv,1,239503,1717,0,269,0,13/10/2022,PT1H29M24S
How Are You (My Friend),ocrxRS2iYo4,UCRhktc7REnezMLCx1ip35Mw,Johnny Drille - Topic,10,95707,1426,0,0,0,11/10/2022,PT3M16S
Johnny Drille - How Are You [My Friend] - (Performance Video),CSK5eApRGwQ,UCr2CrvCc_tu8dkcmik0SLeA,Johnny Drille,10,887131,24916,0,1770,0,12/10/2022,PT3M6S
"""Let me finish!""  | Keane & Neville CLASH over Cristiano Ronaldo",cEkSxZJ91_8,UCNAf1k0yIjyGu3k9BwAg3lg,Sky Sports Premier League,24,2489792,42492,0,10174,0,22/10/2022,PT8M35S
No way  | #shorts,URz-8U60NbE,UCQZi2YXSxc6BSK4mZHql8ag,SportsNation,17,17454711,1455823,0,15049,0,14/10/2022,PT54S
"$1 vs $1,000,000 Hotel Room!",iogcY_4xGjo,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,24,37423040,2361722,0,81829,0,22/10/2022,PT15M41S
#JohnnysMusicMondays - How Are You (My Friend) Ft. Don Jazzy,_9UX2SWamrc,UCr2CrvCc_tu8dkcmik0SLeA,Johnny Drille,10,188524,5454,0,340,0,18/10/2022,PT1M26S
Full Text Of Peter Obi Speech At Arewa House 2023 Presidential Candidates Interactive Session,lGP-pfW6oXs,UCh8Hm1lCTKaz5EW6ady0Dfg,Viable Tv,25,89776,0,0,350,0,18/10/2022,PT1H8M4S
Aranda Ekun Part 2 - Latest Yoruba Movie 2022 Premium Odunlade Adekola | Femi Adebayo | Bose Akinola,8zMyd87eeCQ,UC3BYT_REpOi_DNhluVO2ndw,Yorubahood,24,453328,5015,0,542,0,14/10/2022,PT1H8M49S
OKO (Stone) Latest Yoruba Movie 2022 Mide Martins | Muyiwa Ademola| Bolanle Salisu | Mama Ereko,Poe-E4flB2I,UCvpK1k1i23Xi5TM-ZDuSNDw,LibraTv,1,152502,1527,0,297,0,20/10/2022,PT1H56M26S
HANDING OVER SERVICE,Dd0s_1S67Ek,UCIwUNuYEcZiiJqjU04yN30A,AyoAjewole Woliagba-YPM,23,146632,4891,0,351,0,16/10/2022,PT26M4S
